DATE,WILLSMLCAP
2017-06-15,105453.62
2017-06-16,105217.88
2017-06-19,106033.56
2017-06-20,104900.90
2017-06-21,104403.76
2017-06-22,104732.43
2017-06-23,105558.06
2017-06-26,105850.08
2017-06-27,104940.27
2017-06-28,106457.09
2017-06-29,105809.10
2017-06-30,105841.34
2017-07-03,106674.03
2017-07-04,.
2017-07-05,106153.66
2017-07-06,104709.91
2017-07-07,105760.81
2017-07-10,105281.92
2017-07-11,105622.65
2017-07-12,106466.03
2017-07-13,106617.24
2017-07-14,106923.03
2017-07-17,107136.89
2017-07-18,106882.53
2017-07-19,107988.30
2017-07-20,107957.17
2017-07-21,107528.66
2017-07-24,107744.06
2017-07-25,108641.36
2017-07-26,108029.81
2017-07-27,107509.81
2017-07-28,107232.32
2017-07-31,106980.26
2017-08-01,107188.35
2017-08-02,106092.86
2017-08-03,105529.98
2017-08-04,106027.71
2017-08-07,106098.29
2017-08-08,105804.24
2017-08-09,104974.00
2017-08-10,103234.00
2017-08-11,103402.82
2017-08-14,104743.19
2017-08-15,104034.92
2017-08-16,104158.65
2017-08-17,102412.98
2017-08-18,102298.98
2017-08-21,102254.29
2017-08-22,103254.89
2017-08-23,103147.39
2017-08-24,103333.02
2017-08-25,103619.88
2017-08-28,103817.77
2017-08-29,103871.84
2017-08-30,104513.09
2017-08-31,105494.74
2017-09-01,106099.83
2017-09-04,.
2017-09-05,105030.98
2017-09-06,105222.39
2017-09-07,104928.30
2017-09-08,105028.54
2017-09-11,106221.78
2017-09-12,106902.56
2017-09-13,107145.53
2017-09-14,107025.97
2017-09-15,107446.44
2017-09-18,108053.47
2017-09-19,107958.70
2017-09-20,108422.71
2017-09-21,108284.81
2017-09-22,108789.12
2017-09-25,108975.08
2017-09-26,109292.69
2017-09-27,110973.11
2017-09-28,111337.66
2017-09-29,111543.71
2017-10-02,112779.73
2017-10-03,112978.14
2017-10-04,112715.93
2017-10-05,113074.11
2017-10-06,112867.55
2017-10-09,112438.02
2017-10-10,112746.19
2017-10-11,112680.30
2017-10-12,112569.59
2017-10-13,112405.06
2017-10-16,112404.57
2017-10-17,112004.31
2017-10-18,112478.48
2017-10-19,112318.58
2017-10-20,112861.94
2017-10-23,112038.56
2017-10-24,112251.71
